"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06"
"United States","National",0,326569308,,,,0.0680808373925882,0.069110703259084,0.0695237729411377,0.0697129356207367,0.070167146646127,0.0701088928965295,0.0698175943007064,0.0701935991379257,0.0699889984594546,0.068868175358467,0.068040165476097,0.0669797444113997,0.0669538537634968,0.0679515808244815,0.0687846315957513,0.0690287893614142,0.0686604797263314,0.0679965586503206,0.0668995760240038,0.0654269225633902,0.0643136202948209,0.0635156628844474,0.063189390093737,0.063800714493072,0.0645773076565718,0.065493096067603,0.066349908157028,0.0666531767724586,0.0665141811172916,0.0659123260326959,0.0651643720957751,0.0642942764089806,0.0638245470939002,0.0637006812329044,0.0639614691681991,0.0646853362204848,0.0653545169289502,0.0660622837439529,0.0669236470728279,0.0687868454936374,0.0707643704546984,0.0720197882150211,0.0722714719237776,0.0711763348743527,0.0696026746678961,0.0683582780397027,0.067733774565984,0.067419091975101,0.0665417588860873,0.0652079430752909,0.0631702402744024,0.0595402206405354,0.0554418716184973,0.0508195318342962,0.0462794931046166,0.042889569459442,0.0409960475317258,0.0405912851625967,0.0412735245040319,0.0426666153984726,0.0441833959809366,0.0459457060865757,0.0474974098694475,0.0486694738243326,0.049391567187824,0.0497319614996048,0.0502871338211213,0.0513418323731198,0.0530679138527506,0.0550729996947623,0.0571002915533534,0.059280624246426,0.0613364340106629,0.0635881334491342,0.0659557262168406,0.0680960740304499,0.0701556172563323,0.0719616173564177
"California","State",6,39346023,"California",,,0.0483293624103205,0.0514600645918619,0.0516925266340681,0.0513949192182638,0.0521499345425772,0.05178400480296,0.0519082620074199,0.0529210702216848,0.0536284121238952,0.0535598863880636,0.0537561421090428,0.0536473977916346,0.0535896061263006,0.0535669322274313,0.0535531491078292,0.0535426965567708,0.0536781020701706,0.0544152769519858,0.055100529019066,0.0550806267858209,0.0547282939243825,0.0542726702831624,0.0537591414874228,0.0541269584576019,0.0547268959536103,0.0550906464298079,0.0559438239493172,0.0562453430152607,0.0564681542362825,0.0567154799859853,0.0564370010389277,0.056001733789876,0.0561417811026753,0.056396372236075,0.0566875119744127,0.0572799884712402,0.0573032376425619,0.0571587286745244,0.0573569832241048,0.0592987677401348,0.0616746530440437,0.0644884307963844,0.0668721862085728,0.067697560377309,0.0675550286919817,0.0662956045399318,0.0647624727224291,0.0627907965126116,0.0607267200721037,0.0587765122919473,0.0566796160343716,0.0537859163896119,0.0503585183626444,0.0463677175833744,0.0421320736723499,0.0383860726012056,0.0361274629107426,0.0355909694479113,0.0360575459527815,0.037358039955941,0.0384052845585215,0.0390194468355828,0.0395541477316976,0.0398097568206189,0.0401251219940299,0.0404862654110307,0.0409058351701896,0.0419485595059084,0.0435014854072255,0.0451446187052618,0.0468820806406859,0.0485577919710675,0.0496878521685572,0.0507653650735795,0.0519092998215477,0.0527454896311538,0.0538930135798262,0.055046121745672
"Texas","State",48,28635442,"Texas",,,0.0864046781637515,0.0874445451520953,0.0884170381213287,0.0889818676487078,0.0897983506459036,0.0900914625160738,0.089818030920691,0.0902548336074297,0.0883693180927565,0.0853724424766327,0.0828538320574582,0.0801252556245523,0.0804775159429542,0.0817517101421827,0.0826097855659949,0.0828010379951277,0.0823933465624676,0.082089473591951,0.0815550835576396,0.080836260168929,0.0805767700941345,0.0807938937953426,0.0813553110112386,0.0826055109285779,0.0838962633386103,0.0850258228530493,0.0858196780055827,0.0859485255939484,0.0853720745562405,0.0841762407138353,0.0829169755190817,0.0816422873186357,0.0808281870936959,0.0804825542617846,0.0806425538054458,0.0811887016386175,0.0819398429162625,0.083003485090168,0.0840462857191735,0.0858521617211773,0.0874355820635537,0.0880401584014549,0.0879039563754955,0.0869951860373651,0.0857326667384834,0.084961104456565,0.0847937284948133,0.0849095208510078,0.0841865962506078,0.0825247127827365,0.07955750016673,0.0745236702854868,0.0691764812817045,0.063441865247762,0.0581812454815169,0.0542183543941169,0.0517902510017708,0.0507427730745972,0.0508690768520169,0.051702120397211,0.0529102692466554,0.0548621715444496,0.0567846250899775,0.0586751134468294,0.0599272902228748,0.0606434358955124,0.0615391754350963,0.0627403528470017,0.0648152159875055,0.067200047414867,0.0696217148369057,0.0724936297772094,0.0751982239056715,0.0782265249661385,0.0815507400358345,0.0839290359607737,0.086165446521776,0.0881980219069585
"Florida","State",12,21216924,"Florida",,,0.0698070506780849,0.0718003246680044,0.073415455189831,0.0746517614697913,0.0772097328333291,0.0779312936568277,0.0773276220188265,0.075896739017807,0.0735632455370715,0.0706795461476744,0.0676804294798266,0.0649682597713973,0.0632832487959367,0.0637129458342735,0.0649996861837833,0.0666089320986352,0.0672618948893269,0.0670787612068935,0.0660358440788116,0.0638890091270592,0.0624060215873228,0.0616003417220789,0.0610177577729464,0.061745573310153,0.0626028256424701,0.063510389461948,0.0647548221853533,0.0657232933641602,0.0666780333818381,0.0666076628967809,0.0664003901144617,0.0657721209026869,0.0654020562863895,0.0655970057544912,0.066184947618326,0.0676184541237958,0.0683208742629306,0.0691516862589861,0.070444571383988,0.0726432200096268,0.0749514672481878,0.0764135925599992,0.0762695696819522,0.0749025008649808,0.0730961584659986,0.0712409645119228,0.0704683854273538,0.0696060494863774,0.0676102930499432,0.0647898331749506,0.060489767688625,0.0543097177756998,0.0479344761045782,0.041566909567612,0.0359692766891077,0.0320179232222742,0.0303981612447613,0.0306600869339506,0.0320770227979427,0.0345445524063467,0.0371481402926592,0.039983370524588,0.0428516671264742,0.0451655144560651,0.047139356369879,0.0486381285324831,0.0500150204982012,0.0515625927286463,0.0530647377782386,0.0544089547515802,0.0552556459411552,0.0563264615862423,0.0578188215414737,0.0600882984300544,0.0630105346212521,0.0656818371482813,0.0685681754767584,0.0713720070578352
"New York","State",36,19514849,"New York",,,0.0425620677116119,0.0511170391945552,0.0528139419091822,0.0531954659571099,0.0562114808916545,0.0571676084252348,0.0558265734978578,0.0548391004794046,0.0546800203282564,0.0502266265989284,0.0494585091101561,0.0495300123027455,0.0489104314283237,0.0503132173675693,0.0509934126222623,0.0512383986014337,0.0511501935475061,0.0506798180864106,0.0499989948401238,0.0483438621161738,0.0468538901237734,0.045662507298397,0.0453568561239333,0.0457618578386275,0.0464276381118857,0.046999239758112,0.047316641949201,0.0472098499215527,0.046246596251403,0.0458538492383971,0.0447506583203018,0.0432205022859579,0.0429214424062845,0.0414246279826677,0.0406507933490608,0.0410264536261843,0.0405157317026153,0.0411484026438719,0.0412262984851962,0.0417832792036872,0.0457061184594378,0.0506234427529229,0.0553047582738486,0.0589882535172973,0.0591256214847734,0.0589049736583713,0.058478336811842,0.0582165756524359,0.0581872508405615,0.0571891891828756,0.0559787900589448,0.0536760538119724,0.050756112040863,0.0464725783522662,0.0425555338075909,0.0394344684652204,0.0365874721074684,0.0348886253705814,0.0335371840416566,0.0326618718810736,0.0322417514769106,0.0326182309291771,0.0337404027963848,0.0347319277567312,0.0352801061862502,0.0357393319978913,0.037061541097943,0.0386954690579801,0.0415664013250479,0.0438991926571324,0.0454444647440599,0.0470723790253041,0.0483793593419468,0.0496710780444777,0.0502433993287561,0.0503614406916688,0.0493247985263282,0.048798730272129
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","Metro",35620,19261570,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.0443539662198214,0.0508952245345559,0.0521997808742515,0.0529127933238557,0.0565337093044443,0.0581310028361718,0.0576496726419269,0.0564975886909557,0.0539061180721968,0.0506672660895565,0.0506532218421777,0.051875145279294,0.0540603838806113,0.0558183178319047,0.0570331098521167,0.057851239843412,0.0581435065225367,0.0576008163320255,0.0570643890050074,0.0552619745181782,0.0533196788425987,0.0516304389681227,0.0498888090289935,0.0491214409574214,0.0485973195118897,0.0487938631548189,0.049600382045402,0.0497109858288412,0.0496594486789443,0.0492225668794836,0.047604621501407,0.0458432637655531,0.0445836798826328,0.0426705953288807,0.0413399141520863,0.0411896502249986,0.0405178823724297,0.0406230476446919,0.0406835807809298,0.0416984528363421,0.0446876104436696,0.0492537748714346,0.0538192760837555,0.0571947392591228,0.0583285277733879,0.0579953137755623,0.0572971815751054,0.0568028557053888,0.0558922197925661,0.0546395675852778,0.0531334585725598,0.0503506597319601,0.0476698512556547,0.0440812666773615,0.0404016780539406,0.0374476205902937,0.0346760469752329,0.0327254825140584,0.0318085452226588,0.0307888957062349,0.0303756297463869,0.0304808459254765,0.0305131290138542,0.0308552937083202,0.031104524451052,0.0311972656991366,0.032097565589593,0.033406646346985,0.0354640220937274,0.0375053103026981,0.0388189432002657,0.0398525099404457,0.0405319293795467,0.0409095109743853,0.0413977319709652,0.0426863467433721,0.0445680551931317,0.0470855705728975
"Los Angeles-Long Beach-Anaheim, CA Metro Area","Metro",31080,13211027,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.0519231982236657,0.0569225116656992,0.0578353688683511,0.0583626230591926,0.0605989560840604,0.0605200568670333,0.0606674496519901,0.0608222708137291,0.0604765953078889,0.0597053478386914,0.0594705154952288,0.0592172282320421,0.059003971463286,0.0586423267509432,0.0586528718665345,0.0591502601403705,0.0605253941084071,0.0629329345311978,0.0644169822198572,0.0642622350623678,0.0629095292987744,0.0610596496691274,0.0591874200894003,0.0587513574016745,0.0591084117241047,0.0594282702053574,0.0610858577603378,0.0621177106074409,0.0633897582238993,0.064394075168874,0.0640292762438969,0.0627080190298626,0.061732688040299,0.0606508532390454,0.059780150868205,0.0600424481384932,0.0600001563790329,0.0605952834153805,0.0621876146704698,0.0662658448524558,0.070309342004808,0.0741799963512252,0.0770361248533476,0.077170969696249,0.0757036085928136,0.0737368343924388,0.071448079602532,0.0694727868420506,0.0681924999201825,0.066510288259414,0.065060264196267,0.0621538101644283,0.0581699731776472,0.0530564595136879,0.0470149791021143,0.0412335886524312,0.0371571444465919,0.0355211958523429,0.0352581645167479,0.036230983817655,0.0372127550689169,0.0377418752405944,0.0385892026586199,0.0395168277442618,0.0405427903089953,0.0416843633946978,0.0422074375267177,0.0427479607429386,0.0434982635570568,0.0443179758836195,0.0459599447128684,0.0479899393235234,0.0496738258457313,0.051190662297096,0.0529057497327944,0.0544232471322859,0.0562738990860096,0.0579904583922877
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.063641879814903,0.0610798714285237,0.0610533441584872,0.0620770502244709,0.0624734690145956,0.0646872357781678,0.0663744580100785,0.0679394327551984,0.0693289281620562,0.0688372731054886,0.0687160306497043,0.0691462142331525,0.0700033512687189,0.0724165117220371,0.0740976181816154,0.0740092165409079,0.071175052182077,0.0670902767687858,0.061996203200812,0.0564512157337999,0.0531413530572994,0.0515790942958893,0.0508991792157729,0.0512486698161343,0.0518093277844995,0.0517729298182133,0.0523491527378429,0.0527349240340276,0.053066342708081,0.0529689379920745,0.0524158605637275,0.0512221792623328,0.0515514863158215,0.0513489057770374,0.0525628803357477,0.0531721574387035,0.0526588416119727,0.0531291212206902,0.0537112385316955,0.0567293095217858,0.0608561073872159,0.0649728893776824,0.0676539899163966,0.0690481719717217,0.0683779947179147,0.0667560236139522,0.0651404544559341,0.064177799323419,0.0642272383287975,0.0644132359636185,0.06417784150753,0.0623651375593838,0.058216932300527,0.0529555931633189,0.0469550289022526,0.0412849221042976,0.0371171691501277,0.0349298173100502,0.0346826625505386,0.0358684092273811,0.0387146876281222,0.0424024521196726,0.0458162061783004,0.0481541742257897,0.048742349586638,0.0479124896026775,0.0469231607591847,0.0467176676434813,0.0472437593751208,0.048526191718023,0.0499744128800501,0.0512917285966536,0.0532967127341104,0.0562010894682918,0.0597288096450492,0.0635837841569341,0.0663915212245788,0.0680882242643956
"Illinois","State",17,12716164,"Illinois",,,0.0549902669331866,0.0545692820379672,0.0538883438616332,0.0543523653100632,0.055023054175307,0.0563964964116918,0.0592590949411506,0.0632860462053022,0.068037242255389,0.0706469911608327,0.0726594685776129,0.0723450380791459,0.0714981509020581,0.0726436862896789,0.0738187741136539,0.0734413001481053,0.0715419376741827,0.0696363701516935,0.0667850953573685,0.0651391045259093,0.0643453015943092,0.0629438070254206,0.0614985000021796,0.0613620101791182,0.0610363209994288,0.0613817900006422,0.0617400736324304,0.0610916274052604,0.060886003910895,0.060777605132507,0.0611561929083174,0.0613567176348916,0.0610904215665911,0.0600016363765695,0.0585694608914765,0.0580080184371949,0.0575685278877245,0.0575323911564469,0.0589801642465232,0.0612325810157042,0.0655930717486048,0.07061723155001,0.074717124821934,0.077471927658463,0.0776602914279968,0.0769383896377897,0.0751437330265727,0.0735090412826452,0.071739611074746,0.0694453595870372,0.0673111122891324,0.0638527148788337,0.0605472185798929,0.0573226036841822,0.0538660235317416,0.0507141625228547,0.0476986838855203,0.0453481808221842,0.0438938768004384,0.0437062068094381,0.0444497688248799,0.0454955872921888,0.0467197622712462,0.0474786986553544,0.0474021231274972,0.0472970014583458,0.0473551855263644,0.0476241227744195,0.0483004741944427,0.048922496221778,0.0492969012096197,0.0504316656000442,0.0512061858037844,0.0519746381639317,0.0529671660027845,0.0538893226019502,0.0558404997377549,0.0581982422344312
"Ohio","State",39,11675275,"Ohio",,,0.092311947754505,0.0810547869201376,0.0768214845829973,0.0740951000852925,0.0653442468597026,0.0611689927637617,0.0580241250481166,0.0596034208652372,0.0632662826568832,0.0639399676790764,0.0638207513032565,0.0596855471879806,0.0557998699684094,0.0565173400426486,0.0559790387640394,0.0551207061586003,0.0538655314824648,0.0512141404842581,0.0496492717413368,0.0481893517225211,0.0469260368395853,0.0469489004624912,0.0472638053292832,0.048462122501268,0.0504077765788666,0.052091459762624,0.0540919516650664,0.0548089959311647,0.0539553338411097,0.0524340321820961,0.0504378840866971,0.0485309645027546,0.0477243829841089,0.0477545585879594,0.0482026892657131,0.0497294577931996,0.0511403598792998,0.0522684110846375,0.0532619879653092,0.0538331182112258,0.0541017342066422,0.053727133867312,0.052665197962046,0.0516361105994415,0.050504246938974,0.0499293877346666,0.0500438522502981,0.050023505532662,0.0497812214294183,0.0489119551713285,0.0471426029891198,0.0442829691968314,0.0410303435723704,0.0376661887748096,0.0348741829123142,0.0331308878633911,0.0324730299547449,0.0326090170825163,0.0330904637703587,0.0337689240815282,0.0341876415119448,0.0350250692638679,0.0361256507074653,0.0369469301958728,0.0375374354208904,0.0374074932149983,0.0372568006322777,0.0381090074753563,0.0398538482599106,0.0421122616954366,0.0444961906849559,0.0467120168554527,0.048747730279369,0.050803246703597,0.0522632441564517,0.0533678299673629,0.0544967669475618,0.0561410378190995
